Shorthand,Sample Number,50K Map,50K Label,50K Time,50K Min,50K Max,200K Map,200K Label,200K Time,200K Min,200K Max,500K Label,500K Time,500k Min,500K Max,Nalivkin Label,Nalivkin Time,N Min,N Max,Reported Age
SV1,CT130918-2A,K-38-38-B,J12ms1,Pleinsbachian,182.7,190.8,K3807,J1,Early Jurassic,174.1,201.3,J1s,Sinemurian,190.8,199.3,,,,,J1
SV2,100211-9A,K-38-25-G,J12ms1,Pleinsbachian,182.7,190.8,K3807,J1,Early Jurassic,174.1,201.3,J1p,Pleinsbachian,182.7,190.8,,,,,J1
SV3,CT130918-9A,K-38-38-V,J12ms1,Pleinsbachian,182.7,190.8,K3807,J11+2,Sinemurian-Pleinsbachian,182.7,199.3,J1p,Pleinsbachian,182.7,190.8,,,,,J1
SV4,CT130919-5A,K-38-38-G,J13s1,Toarcian,174.1,182.7,K3807,J13,Toarcian,174.1,182.7,J1t,Toarcian,174.1,182.7,,,,,J1
SV5,100411-5,K-38-37-V,J2hd2,Bajocian,168.3,170.3,K3807,J2bj,Bajocian,168.3,170.3,J2b,Bajocian,168.3,170.3,,,,,J2
SV6,CT130919-8A,K-38-50-B,J2hd2,Bajocian,168.3,170.3,K3807,J2bj,Bajocian,168.3,170.3,J2b,Bajocian,168.3,170.3,,,,,J2
SV7,AB0926,K-38-26-V,J2tl2,Bathonian,166.1,168.3,K3807,J1,Early Jurassic,174.1,201.3,J3,Upper Jurassic,145,163.5,,,,,J2
SV8,100211-1A,K-38-26-V,K1pr,Berriasian-Valanginian,132.9,145,K3807,J3+Cr1v,Upper Jurassic-Valanginian,132.9,163.5,K1b-h1,Berriasian-Hautervian,129.4,145,,,,,K1
KZ1,CT15076,K-38-54-A,J2a1,Aalenian,170.3,174.1,K3815,J13,Toarcian,174.1,182.7,J1t,Toarcian,174.1,182.7,,,,,J2
KZ2,CT15082,NA,NA,,,,K3815,J3+Cr1v,Upper Jurassic-Valanginian,132.9,163.5,J3km+tt,Kimmeridgian-Tithonian,145,157.3,,,,,J3
KZ3,CT15092,NA,NA,,,,K3815,Cr1,Lower Cretaceous,100.5,145,K1h2+br,Hautervivian-Baremian,125,132.9,,,,,K1
KZ4,CT15127,NA,NA,,,,K3815,Cr1,Lower Cretaceous,100.5,145,K1a+al,Aptian-Albian,100.5,145,,,,,K1
KZ5,CT15099,NA,NA,,,,K3815,Cr2cm,Cenomanian,93.9,100.5,K2,Upper Cretaceous,66,100.5,,,,,K2
KZ6,CT15113,K-38-66-V,K2cm+st,NA,,,K3815,Cr2t-d,Turonian,89.8,93.9,K2,Upper Cretaceous,66,100.5,,,,,K2
RU1,AB0913,NA,NA,,,,K3801,hJ12p,Pleinsbachian,182.7,190.8,NA,,,,J12,Pleinsbachian,182.7,190.8,J1
,NW-GC,NA,NA,,,,K3807,J1,Early Jurassic,174.1,201.3,J1p,Pleinsbachian,182.7,190.8,,,,,J1
,N1,K-38-25-G,O-S1dl,Ordovician-Early Silurian,433.4,485.4,K3807,PCm-Pz1,Precambrian-Early Paleozoic,419.2,2500,Pc+PZ1m,Proterozoic-Lower Paleozoic,419.2,2500,,,,,Pz
,N2,K-38-25-G,S2-D1+2lh,Upper Silurian-Middle Devonian,433.4,382.7,K3807,Pz3-T,Upper Paleozoic- Triassic,,,NA,,,,,,,,Pz
,N3,K-38-25-G,C12-Tch,Visean-Triassic,346.7,201.3,K3807,Pz3-T,Upper Paleozoic- Triassic,,,NA,,,,,,,,Pz
,N5,K-38-26-V,J13s1,Toarcian,174.1,182.7,K3807,J1,Early Jurassic,174.1,201.3,J1t,Toarcian,174.1,182.7,,,,,J1
